name,direction,status,factor_id,run_id,rank_ic,ic_mean,ic_ir,ic_p_value,monotonicity,long_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,long_sharpe,long_max_drawdown_pct,long_monthly_win_rate_pct,raw_result,error
F-D07,1,completed,6a90333381d3bc0d682965ee,6a903346aefbfcab3cb44814,-0.0562,-0.0314,-0.2353,0.0837,0.99,-10.66,62.47,9.445464,-20.105463999999998,0.3251,34.95,55.17,development_python.results\6a903346aefbfcab3cb44814.json,
F-D10,1,completed,6a90333481d3bc0d682965ef,6a9033781b8bbc7ad18c363a,0.0040,0.0029,0.0399,0.7666,0.40,-1.4,2.03,0.306936,-1.7069359999999998,0.5135,35.68,55.17,development_python.results\6a9033781b8bbc7ad18c363a.json,
