date,industry,code,turnover,total_turnover,turnover_share,up_count,total_count,return_1d,benchmark_1d,turnover_ratio
2025-08-06,房地产,881153.TI,14583117000.0,1759241738110.0,0.8289433273489195,37.0,88.0,0.2404,1.0644551861572715,0.8123071788562399
2025-08-06,教育,881178.TI,4029044400.0,1759241738110.0,0.2290216468106599,9.0,15.0,0.4852,1.0644551861572715,1.1051669868616596
2025-08-06,文化传媒,881164.TI,21988910000.0,1759241738110.0,1.249908385167309,41.0,84.0,0.1343,1.0644551861572715,0.8556380605060361
2025-08-06,旅游及酒店,881160.TI,7644602000.0,1759241738110.0,0.4345395993283332,6.0,35.0,-0.9225,1.0644551861572715,0.9045907071501786
2025-08-06,服装家纺,881136.TI,11866812600.0,1759241738110.0,0.6745413289676057,54.0,75.0,1.2059,1.0644551861572715,1.1486674684315397
2025-08-06,机场航运,881151.TI,3271101900.0,1759241738110.0,0.1859381703570898,0.0,13.0,-0.489,1.0644551861572715,0.6828647358337029
2025-08-06,橡胶制品,881266.TI,4429857100.0,1759241738110.0,0.2518049114022904,17.0,22.0,2.914,1.0644551861572715,1.4372866365038983
2025-08-06,汽车整车,881125.TI,16333952000.0,1759241738110.0,0.9284654658971426,12.0,23.0,0.3556,1.0644551861572715,0.8941835506134169
2025-08-06,汽车服务及其他,881128.TI,5784827100.0,1759241738110.0,0.3288250258440772,19.0,25.0,1.3833,1.0644551861572715,1.2872379201362931
2025-08-06,汽车零部件,881126.TI,83432798000.0,1759241738110.0,4.7425431191528045,204.0,271.0,1.8925,1.0644551861572715,1.5681379563276665
2025-08-06,油气开采及服务,881107.TI,3014543800.0,1759241738110.0,0.1713547225885286,14.0,19.0,0.3303,1.0644551861572715,0.6377661191603247
2025-08-06,消费电子,881124.TI,54204926000.0,1759241738110.0,3.0811527958763523,78.0,96.0,1.4963,1.0644551861572715,1.3077970639270438
2025-08-06,港口航运,881148.TI,6122106200.0,1759241738110.0,0.3479968708892241,23.0,36.0,0.357,1.0644551861572715,0.8274030850753915
2025-08-06,游戏,881275.TI,21874539000.0,1759241738110.0,1.243407231998736,22.0,24.0,2.1801,1.0644551861572715,1.3215808386858516
2025-08-06,煤炭开采加工,881105.TI,10879205300.0,1759241738110.0,0.6184030917597384,29.0,34.0,1.6687,1.0644551861572715,1.125327737825452
2025-08-06,燃气,881146.TI,2314111000.0,1759241738110.0,0.1315402511133069,15.0,27.0,0.2262999999999999,1.0644551861572715,1.12866097176243
2025-08-06,物流,881152.TI,8035284900.0,1759241738110.0,0.4567470590274034,19.0,50.0,-0.1663,1.0644551861572715,0.7793350683447106
2025-08-06,环保设备,881284.TI,3251195200.0,1759241738110.0,0.1848066203506997,23.0,30.0,1.2049,1.0644551861572715,1.1355217495394172
2025-08-06,环境治理,881181.TI,13792671000.0,1759241738110.0,0.784012265126101,56.0,111.0,0.4127999999999999,1.0644551861572715,0.9337224787188296
2025-08-06,生物制品,881142.TI,19719397000.0,1759241738110.0,1.120903203512274,13.0,55.0,-0.9528,1.0644551861572715,0.8842715280008859
2025-08-06,电力,881145.TI,18975913000.0,1759241738110.0,1.0786415868228731,38.0,110.0,0.1231,1.0644551861572715,0.8021120549253143
2025-08-06,电子化学品,881172.TI,15597339000.0,1759241738110.0,0.886594415202804,35.0,43.0,1.5815,1.0644551861572715,1.1224399274213748
2025-08-06,电机,881277.TI,13432838000.0,1759241738110.0,0.7635583961548829,23.0,26.0,2.323,1.0644551861572715,1.81270326950003
2025-08-06,电池,881281.TI,37896431000.0,1759241738110.0,2.154134373864568,80.0,106.0,1.2543,1.0644551861572715,0.9114928330779576
2025-08-06,电网设备,881278.TI,26794940000.0,1759241738110.0,1.523095969106924,100.0,140.0,0.9463,1.0644551861572715,1.1429399911866098
2025-08-06,白色家电,881131.TI,20844878000.0,1759241738110.0,1.1848785501413923,34.0,44.0,1.5693,1.0644551861572715,1.33801544554503
2025-08-06,白酒,881273.TI,8776911900.0,1759241738110.0,0.4989031188760487,12.0,19.0,0.3187,1.0644551861572715,0.6837227339380144
2025-08-06,石油加工贸易,881180.TI,3939153500.0,1759241738110.0,0.223912007921773,13.0,27.0,0.2246999999999999,1.0644551861572715,0.6426993777351453
2025-08-06,种植业与林业,881101.TI,3556964300.0,1759241738110.0,0.2021873528206158,6.0,30.0,-0.3514,1.0644551861572715,0.6000442366261758
2025-08-06,纺织制造,881135.TI,4528421700.0,1759241738110.0,0.2574075865699391,23.0,33.0,1.6306,1.0644551861572715,1.3170230602335722
2025-08-06,综合,881165.TI,3321222000.0,1759241738110.0,0.1887871307309976,8.0,18.0,0.0321,1.0644551861572715,0.7620551698119461
2025-08-06,美容护理,881182.TI,4251037600.0,1759241738110.0,0.2416403333271868,21.0,33.0,0.6343,1.0644551861572715,0.6982076657768759
2025-08-06,能源金属,881267.TI,5949331200.0,1759241738110.0,0.338175878341286,11.0,12.0,1.2242,1.0644551861572715,0.5241721206207266
2025-08-06,自动化设备,881171.TI,42790427000.0,1759241738110.0,2.4323221802349284,74.0,96.0,2.051,1.0644551861572715,1.6882454572745376
2025-08-06,计算机设备,881130.TI,30019322000.0,1759241738110.0,1.7063784555413375,70.0,83.0,1.6115000000000002,1.0644551861572715,1.0863470245130675
2025-08-06,证券,881157.TI,33330538000.0,1759241738110.0,1.894596818502492,36.0,50.0,0.4379,1.0644551861572715,0.6560664937558469
2025-08-06,贵金属,881169.TI,7067753200.0,1759241738110.0,0.4017499725531225,10.0,14.0,0.7129,1.0644551861572715,0.9498842892043794
2025-08-06,贸易,881159.TI,1113357640.0,1759241738110.0,0.0632862224605988,6.0,14.0,-0.135,1.0644551861572715,0.6703665057254937
2025-08-06,轨交设备,881269.TI,4199945900.0,1759241738110.0,0.2387361446137648,26.0,30.0,1.3621,1.0644551861572715,0.9324009045082384
2025-08-06,软件开发,881272.TI,67291099000.0,1759241738110.0,3.825005827356768,108.0,138.0,1.794,1.0644551861572715,0.9277042455478054
2025-08-06,通信服务,881162.TI,17062678000.0,1759241738110.0,0.9698881984422952,35.0,44.0,1.044,1.0644551861572715,1.0474622019399606
2025-08-06,通信设备,881129.TI,63585458000.0,1759241738110.0,3.614367293735967,60.0,91.0,0.8498,1.0644551861572715,0.901832078314301
2025-08-06,通用设备,881117.TI,77388610000.0,1759241738110.0,4.398975326900818,202.0,252.0,2.1121,1.0644551861572715,1.5012444425017646
2025-08-06,造纸,881137.TI,3560560900.0,1759241738110.0,0.2023917931725065,17.0,24.0,1.06,1.0644551861572715,1.0681248133419692
2025-08-06,金属新材料,881114.TI,10639067700.0,1759241738110.0,0.6047530290765971,26.0,34.0,1.2089,1.0644551861572715,0.9078187534368968
2025-08-06,钢铁,881112.TI,12672500200.0,1759241738110.0,0.7203387644505526,25.0,44.0,0.2154999999999999,1.0644551861572715,0.6699464680333882
2025-08-06,银行,881155.TI,26817629000.0,1759241738110.0,1.5243856724778988,11.0,42.0,-0.2221,1.0644551861572715,0.8083480467556299
2025-08-06,零售,881158.TI,11179931600.0,1759241738110.0,0.6354971780064118,18.0,71.0,-0.3411,1.0644551861572715,0.7070887580617703
2025-08-06,非金属材料,881167.TI,2216112400.0,1759241738110.0,0.1259697488976602,11.0,16.0,1.0633,1.0644551861572715,0.6645095240772146
2025-08-06,风电设备,881280.TI,9716651300.0,1759241738110.0,0.5523204167744937,14.0,31.0,0.5888,1.0644551861572715,1.2679028364808114
2025-08-06,食品加工制造,881134.TI,5872681900.0,1759241738110.0,0.3338189273697643,25.0,66.0,-0.0017,1.0644551861572715,0.742494035822448
2025-08-06,饮料制造,881133.TI,7701772500.0,1759241738110.0,0.4377893232725491,22.0,47.0,0.1352,1.0644551861572715,0.7033373398544259
2025-08-06,黑色家电,881132.TI,3644050000.0,1759241738110.0,0.2071375366477434,7.0,9.0,0.6177,1.0644551861572715,1.258804298101356
2025-08-07,IT服务,881271.TI,61151263000.0,1852479340870.0,3.3010496608982893,51.0,129.0,0.0665,0.0957635739506474,1.0916161164893914
2025-08-07,专用设备,881118.TI,47598951000.0,1852479340870.0,2.569472703411936,51.0,200.0,-0.3616,0.0957635739506474,1.218242967705271
2025-08-07,中药,881141.TI,15393360000.0,1852479340870.0,0.8309598741743942,7.0,68.0,-0.9208,0.0957635739506474,0.6958413685736512
2025-08-07,互联网电商,881177.TI,4894555800.0,1852479340870.0,0.2642164850109106,8.0,20.0,0.0773,0.0957635739506474,1.1272271146831818
2025-08-07,保险,881156.TI,4650588600.0,1852479340870.0,0.251046718708123,0.0,5.0,-0.9551,0.0957635739506474,0.5736515417523623
2025-08-07,元件,881270.TI,41238788000.0,1852479340870.0,2.226140237581952,11.0,63.0,-0.9166,0.0957635739506474,0.8938162289734335
2025-08-07,光伏设备,881279.TI,20336871000.0,1852479340870.0,1.0978190445270486,12.0,72.0,-0.8875,0.0957635739506474,0.8538917808780352
2025-08-07,光学光电子,881122.TI,26700596000.0,1852479340870.0,1.44134379320313,47.0,107.0,0.3067,0.0957635739506474,1.1985119153364945
2025-08-07,公路铁路运输,881149.TI,3640324500.0,1852479340870.0,0.1965109364345383,15.0,32.0,0.2030999999999999,0.0957635739506474,0.729541446494014
2025-08-07,其他电子,881123.TI,16086113000.0,1852479340870.0,0.8683558647647484,17.0,34.0,0.6689999999999999,0.0957635739506474,1.525296685131023
2025-08-07,其他电源设备,881282.TI,15590419000.0,1852479340870.0,0.8415974556929797,11.0,35.0,-0.0163,0.0957635739506474,1.0053615923636383
2025-08-07,其他社会服务,881179.TI,6837480900.0,1852479340870.0,0.3690989016260143,16.0,42.0,0.4132,0.0957635739506474,1.165928459869805
2025-08-07,养殖业,881102.TI,6494353300.0,1852479340870.0,0.3505762875039668,21.0,36.0,0.1897,0.0957635739506474,0.8190266088202217
2025-08-07,军工电子,881276.TI,33483311000.0,1852479340870.0,1.8074863379731327,24.0,62.0,-0.0613999999999999,0.0957635739506474,1.262967841623735
2025-08-07,军工装备,881166.TI,85391853000.0,1852479340870.0,4.609598127010502,22.0,82.0,-0.5642,0.0957635739506474,1.3906446247005546
2025-08-07,农产品加工,881103.TI,5368291100.0,1852479340870.0,0.2897895259376459,30.0,43.0,0.795,0.0957635739506474,1.0300355616099623
2025-08-07,农化制品,881263.TI,11213856600.0,1852479340870.0,0.6053431394669975,11.0,61.0,-0.4741,0.0957635739506474,0.7777191898154111
2025-08-07,包装印刷,881138.TI,7147054200.0,1852479340870.0,0.3858101973025756,15.0,46.0,-0.026,0.0957635739506474,1.0620786496042922
2025-08-07,化学制品,881109.TI,34116025000.0,1852479340870.0,1.841641320759762,71.0,179.0,0.3254,0.0957635739506474,0.9559145403612596
2025-08-07,化学制药,881140.TI,61698726000.0,1852479340870.0,3.330602649043511,31.0,158.0,-1.3109000000000002,0.0957635739506474,0.7999909750280131
2025-08-07,化学原料,881108.TI,10396515000.0,1852479340870.0,0.5612216433742991,15.0,59.0,-0.0076,0.0957635739506474,1.0918310560622329
2025-08-07,化学纤维,881264.TI,3657779800.0,1852479340870.0,0.1974532033529808,5.0,29.0,-0.5339,0.0957635739506474,0.9719956285731338
2025-08-07,医疗器械,881144.TI,31489996000.0,1852479340870.0,1.6998837884589315,84.0,140.0,1.4828,0.0957635739506474,1.140926657923225
2025-08-07,医疗服务,881175.TI,27573678000.0,1852479340870.0,1.4884742513268878,17.0,56.0,-0.6795,0.0957635739506474,0.8689121296246632
2025-08-07,医药商业,881143.TI,6841611200.0,1852479340870.0,0.3693218622771199,4.0,32.0,-0.3863999999999999,0.0957635739506474,0.9707651442608272
2025-08-07,半导体,881121.TI,120630095000.0,1852479340870.0,6.511818638870606,117.0,183.0,1.8527,0.0957635739506474,1.3936654043923655
2025-08-07,厨卫电器,881174.TI,833628560.0,1852479340870.0,0.0450006940216938,1.0,9.0,-0.822,0.0957635739506474,0.9467629149907668
