code,name,theme,shares,entry_price,last_price,market_value,weight,score,ma30,below_ma_days,unrealized_return
159259,易方达国证成长100ETF,科技成长,0.25187551,1.293,1.776,0.4473309,0.282192,0.500625,1.570067,0,0.37355
159994,5GETF,通信,0.25899936,1.264,1.708,0.4423709,0.279063,0.351086,1.536033,0,0.351266
159516,国泰中证半导体材料设备主题ETF,半导体,0.20065963,1.921,1.975,0.39630276,0.250002,1.327929,1.3958,0,0.02811
