code6,name,industry,market_type,research_status,dqc_score,valuation_score,dividend_score,cashflow_score,dividend_yield,pe_ttm,pb,average_payout,cash_conversion,cash_coverage,dividend_stability,dividend_cagr,risk_flag_count,factor_status,factor_coverage
300557,理工光科,通用设备,创业板,普通观察,50.0199,24.6285,56.8332,64.9705,0.5667,88.2951,4.0793,0.5419,2.0188,3.7256,0.7880,0.2994,0,有效,1.0000
002826,易明医药,化学制药,主板,普通观察,49.8569,37.7137,51.7860,58.3362,0.8161,27.7313,3.9078,0.3640,2.4293,5.9577,0.4671,1.2563,0,有效,1.0000
605566,福莱蒽特,化学制品,主板,普通观察,49.8467,38.6603,45.1156,64.1660,0.3176,69.1920,1.7255,0.5561,2.8254,7.1720,0.9089,-0.0896,0,有效,1.0000
603081,大丰实业,专用设备,主板,普通观察,49.7333,55.2784,41.6042,53.1095,0.4277,63.3877,1.2966,0.2887,1.6694,8.3609,0.5427,0.1212,0,有效,1.0000
002271,东方雨虹,建筑材料,主板,价值陷阱复核,49.7021,32.3071,62.0005,52.3138,6.8065,157.8551,1.2468,19.5072,31.3788,1.4278,0.6273,0.2247,2,有效,1.0000
301156,美农生物,化学制品,创业板,价值陷阱复核,49.6550,31.4177,58.6273,56.3146,1.7133,45.8920,3.1071,0.9086,1.2131,1.4909,0.8341,-0.1669,2,有效,1.0000
688253,英诺特,医疗器械,科创板,普通观察,49.5526,21.5577,67.5333,55.5674,1.4911,148.0491,3.6866,0.3129,1.3368,4.0602,0.8626,0.0560,0,有效,1.0000
300037,新宙邦,电池,创业板,普通观察,49.5294,42.8736,60.3637,44.4001,0.9542,32.9163,4.6942,0.3414,1.0651,3.1196,0.8335,-0.0884,0,有效,1.0000
002920,德赛西威,汽车零部件,主板,普通观察,49.4892,59.9430,65.0725,24.9454,1.0391,20.1341,3.1015,0.3026,0.7449,2.4475,0.8136,0.2619,1,有效,1.0000
002912,中新赛克,计算机设备,主板,普通观察,49.4734,26.1463,64.3320,54.6094,1.3271,494.1620,2.4026,0.5699,1.3723,1.7224,0.7278,0.1547,1,有效,1.0000
688161,威高骨科,医疗器械,科创板,普通观察,49.3911,57.2816,59.5974,32.4216,1.2178,35.0072,2.1605,0.5028,1.2254,2.4884,0.6253,0.6775,0,有效,1.0000
601699,潞安环能,煤炭开采加工,主板,价值陷阱复核,49.3886,59.5296,40.7885,49.2964,1.5847,31.4703,1.0377,0.5016,2.0266,4.0476,0.1558,-0.6569,2,有效,1.0000
300905,宝丽迪,化学纤维,创业板,普通观察,49.2930,31.9447,78.3840,35.0718,1.5513,39.0561,3.1079,0.5912,0.6561,1.1098,0.7829,0.0074,1,有效,1.0000
002922,伊戈尔,其他电子,主板,普通观察,49.2341,54.7170,64.3666,29.4021,0.9798,48.5176,2.6786,0.5526,0.8313,1.5363,0.9616,0.0433,0,有效,1.0000
688419,耐科装备,专用设备,科创板,普通观察,49.2238,26.8541,70.6906,46.9311,1.4291,61.7744,5.2139,0.5085,1.1158,2.1944,0.7477,0.3609,0,有效,1.0000
603048,浙江黎明,汽车零部件,主板,价值陷阱复核,49.1798,25.7452,61.0803,57.3661,1.6556,122.9219,2.7254,1.1166,2.1156,1.8152,0.9992,-0.0008,2,有效,1.0000
300224,正海磁材,金属新材料,创业板,普通观察,49.1092,51.4125,68.7657,27.4783,1.2937,32.9528,2.1389,0.6021,1.5982,1.9703,0.9449,0.0629,1,有效,1.0000
300442,润泽科技,通信服务,创业板,普通观察,49.0345,53.5168,70.4640,23.7631,1.2222,18.9271,7.0150,0.5015,0.7060,2.3327,0.9207,0.0884,1,有效,1.0000
688160,步科股份,自动化设备,科创板,普通观察,49.0177,24.8155,50.3262,68.4541,0.1967,105.0391,6.4961,0.4153,1.6385,3.2057,0.9627,0.0399,0,有效,1.0000
603311,金海高科,白色家电,主板,普通观察,48.9717,17.5220,65.6757,59.2248,0.7853,97.7390,4.5743,0.3836,1.6432,4.6223,0.8259,0.2160,0,有效,1.0000
603239,浙江仙通,汽车零部件,主板,普通观察,48.8985,62.9544,66.7044,19.0447,1.4627,19.0779,2.8099,0.3660,0.5184,1.4164,0.8271,-0.0318,1,有效,1.0000
601865,福莱特,光伏设备,主板,价值陷阱复核,48.8800,52.8486,40.6532,53.7051,0.9572,63.6885,1.0721,0.2888,2.9688,10.2801,0.2452,-0.5084,2,有效,1.0000
002381,双箭股份,橡胶制品,主板,价值陷阱复核,48.8687,65.9910,60.4574,22.6037,1.5174,59.5564,1.0901,0.5360,0.4975,1.1693,0.6599,-0.3675,3,有效,1.0000
688169,石头科技,小家电,科创板,价值陷阱复核,48.8491,72.9827,29.6663,47.3461,0.3464,18.9058,2.1780,0.1000,0.8772,5.7367,0.2429,-0.5718,2,有效,1.0000
301229,纽泰格,汽车零部件,创业板,普通观察,48.8072,32.8679,35.2114,76.0653,0.2424,10647.0216,1.7656,0.2581,2.8981,13.3546,0.6354,-0.0105,1,有效,1.0000
301262,海看股份,文化传媒,创业板,普通观察,48.8037,54.9480,55.7370,36.6038,2.4910,24.7395,2.1939,0.6230,0.9488,0.8953,0.6751,-0.2286,1,有效,1.0000
