code6,name,final_status,growth_profile,final_score,growth_core,quality_score,balance_score,news_news_score,current_revenue_growth,current_profit_growth,revenue_acceleration,profit_acceleration,persistence_score,cash_margin,cash_to_profit,current_roe,current_net_margin,current_debt_ratio,news_news_count,news_positive_articles,news_negative_articles,news_positive_groups,news_negative_groups,low_base_flag,cash_mismatch_flag,high_debt_flag,factor_status,factor_coverage
000989,九芝堂,加速/反转观察,加速成长,79.3595,80.5278,79.8239,74.9255,,29.0812,74.0102,35.0743,71.0499,50.0,0.2888,1.8841,6.62,20.108,25.0745,0,0,0,[],[],False,False,False,有效,1.0
002648,卫星化学,加速/反转观察,加速成长,79.2355,87.122,82.5402,48.9664,,30.9168,126.9412,29.9977,139.4769,83.3333,0.3135,1.5465,17.28,20.2763,51.0336,0,0,0,[],[],False,False,False,有效,1.0
601975,招商南油,加速/反转观察,加速成长,79.0164,77.0197,76.8817,89.276,,19.3667,42.4147,29.4934,74.1464,66.6667,0.2848,1.1602,6.78,24.6823,10.724,0,0,0,[],[],False,False,False,有效,1.0
603125,常青科技,加速/反转观察,加速成长,79.0162,85.1082,63.0823,92.6078,,45.6693,99.1635,49.7205,121.7378,50.0,0.1194,0.6025,5.56,19.8206,7.3922,0,0,0,[],[],False,False,False,有效,1.0
002975,博杰股份,成长质量优先,持续成长,79.0029,93.7637,60.9417,70.8428,,66.8402,746.9353,17.9191,189.4255,100.0,0.0883,0.579,7.19,15.8522,29.1572,0,0,0,[],[],True,False,False,有效,1.0
600909,华安证券,成长质量优先,持续成长,78.7119,89.2696,90.7064,23.0501,,65.2782,102.5486,34.1695,60.6242,100.0,1.3035,2.4911,8.08,52.3198,76.9499,0,0,0,[],[],False,False,True,有效,1.0
000603,盛达资源,加速/反转观察,反转/低基数,78.6491,85.4951,85.8867,51.6351,66.65,27.0844,456.4619,4.8197,419.9473,83.3333,0.4975,1.4687,12.14,37.5686,48.3649,18,16,7,"['业绩兑现', '产能产品', '行业景气', '需求订单']","['业绩风险', '扩张不确定', '治理监管']",True,False,False,有效,1.0
002128,电投能源,成长质量优先,持续成长,78.5699,79.4062,83.5103,66.1799,,19.9605,49.1335,19.1035,47.6831,100.0,0.3509,1.5859,10.58,26.8104,33.8201,0,0,0,[],[],False,False,False,有效,1.0
601628,中国人寿,成长质量优先,持续成长,78.5462,94.5435,89.6341,8.3787,,81.5399,228.5749,65.0593,184.4892,100.0,0.6513,2.1034,21.07,31.3149,91.6213,0,0,0,[],[],True,False,True,有效,1.0
002606,大连电瓷,成长质量优先,持续成长,78.4945,92.8238,63.4156,65.6647,,48.5868,232.1781,29.6692,231.8247,100.0,0.1037,0.5789,7.8,17.9172,34.3353,0,0,0,[],[],True,False,False,有效,1.0
000933,神火股份,加速/反转观察,加速成长,78.2056,81.964,82.8285,57.6847,,21.3544,151.0625,13.8801,158.0612,66.6667,0.2904,1.5059,18.41,24.5155,42.3153,0,0,0,[],[],False,False,False,有效,1.0
603629,利通电子,加速/反转观察,反转/低基数,78.0974,81.9981,95.4172,31.7553,,38.5752,1275.1473,-8.5799,186.5533,83.3333,1.2247,3.6634,29.83,33.562,68.2447,0,0,0,[],[],True,False,False,有效,1.0
002545,东方铁塔,观察,增速观察,78.0129,79.8236,81.7432,69.3558,71.66,42.0268,97.8436,25.7534,-15.9305,83.3333,0.3755,1.1738,9.52,31.9688,30.6442,19,18,6,"['业绩兑现', '产能产品', '行业景气', '需求订单']","['业绩风险', '扩张不确定', '经营质量']",False,False,False,有效,1.0
002414,高德红外,加速/反转观察,反转/低基数,77.9948,95.5369,54.7077,71.9429,,117.9354,646.8052,45.4356,393.3586,83.3333,-0.016,-0.05,17.51,32.053,28.0571,0,0,0,[],[],True,True,False,有效,1.0
600999,招商证券,成长质量优先,持续成长,77.9649,91.5266,93.6896,16.6204,61.78,108.1874,104.8697,88.6562,85.9628,100.0,2.9102,5.9992,8.22,48.5273,83.3796,16,12,6,"['业绩兑现', '产能产品', '行业景气', '需求订单']","['业绩风险', '扩张不确定', '治理监管']",False,False,True,有效,1.0
000506,招金黄金,加速/反转观察,反转/低基数,77.937,92.6503,72.2027,61.67,53.33,85.1313,407.4399,27.0028,182.7753,83.3333,0.1528,0.2445,28.34,68.8644,38.33,14,11,8,"['业绩兑现', '产能产品', '行业景气']","['业绩风险', '扩张不确定', '治理监管', '现金与负债']",True,False,False,有效,1.0
002167,东方锆业,加速/反转观察,加速成长,77.8948,79.5662,74.3468,79.9764,,7.9377,176.0565,27.2555,246.2116,66.6667,0.281,2.3668,4.45,11.8717,20.0236,0,0,0,[],[],False,False,False,有效,1.0
603135,中重科技,加速/反转观察,反转/低基数,77.628,84.6926,68.5497,74.5908,,51.8372,90.824,112.0641,229.9103,33.3333,0.3265,2.9579,1.22,10.9449,25.4092,0,0,0,[],[],True,False,False,有效,1.0
603091,众鑫股份,加速/反转观察,加速成长,77.4819,82.6734,71.4651,73.9411,,33.6987,66.6116,36.3234,84.4056,66.6667,0.1804,0.8389,8.49,21.3027,26.0589,0,0,0,[],[],False,False,False,有效,1.0
603826,坤彩科技,加速/反转观察,反转/低基数,77.4748,89.2856,79.0498,38.8922,,48.028,255.4331,18.1511,617.3735,66.6667,0.2744,1.3239,9.32,21.4831,61.1078,0,0,0,[],[],True,False,False,有效,1.0
003031,中瓷电子,加速/反转观察,加速成长,77.4741,82.6173,71.2411,74.5103,,54.7627,41.2238,46.0946,36.8621,83.3333,0.1959,1.0752,6.02,19.813,25.4897,0,0,0,[],[],False,False,False,有效,1.0
001232,嘉立创,加速/反转观察,加速成长,77.414,84.7122,73.4415,63.4641,,54.1253,73.5426,25.7296,49.6146,83.3333,0.1764,1.2278,13.37,14.3646,36.5359,0,0,0,[],[],False,False,False,有效,0.9
002222,福晶科技,成长质量优先,持续成长,77.3557,77.0055,84.1347,64.8481,,39.462,40.9656,7.2526,13.6407,100.0,0.3972,1.5918,9.75,28.5019,35.1519,0,0,0,[],[],False,False,False,有效,1.0
600601,方正科技,成长质量优先,持续成长,77.3277,93.097,69.1331,46.409,,72.894,232.3802,31.0287,148.924,100.0,0.1383,0.8923,11.61,15.502,53.591,0,0,0,[],[],True,False,False,有效,1.0
600236,桂冠电力,成长质量优先,持续成长,77.2586,80.7317,88.2763,44.8039,,37.5917,48.0949,29.3136,4.4695,100.0,0.6653,2.162,9.0622,35.4771,55.1961,0,0,0,[],[],False,False,False,有效,1.0
603991,领先股份,加速/反转观察,反转/低基数,77.169,97.1664,48.2426,75.0294,,1819.6292,895.5013,1768.6838,948.1186,83.3333,0.0345,0.3826,5.02,8.9097,24.9706,0,0,0,[],[],True,False,False,有效,1.0
000567,海德股份,加速/反转观察,反转/低基数,77.1458,93.833,57.1372,67.1014,,452.3419,815.7659,470.6451,799.1433,50.0,-0.0088,-0.0122,21.45,72.307,32.8986,0,0,0,[],[],True,True,False,有效,1.0
002709,天赐材料,加速/反转观察,反转/低基数,77.1326,94.8854,57.1802,63.7788,,109.2768,967.9121,76.2723,786.4832,66.6667,0.027,0.1388,15.0,19.3531,36.2212,0,0,0,[],[],True,False,False,有效,1.0
600191,华资实业,加速/反转观察,反转/低基数,76.9426,94.9375,50.3094,76.2243,,58.0002,722.5975,35.9362,590.6468,83.3333,0.0882,0.8517,2.12,10.3557,23.7757,0,0,0,[],[],True,False,False,有效,1.0
603132,金徽股份,成长质量优先,持续成长,76.8092,84.077,85.7551,37.1144,,37.0027,61.5174,25.0053,46.2238,100.0,0.5343,1.4174,12.26,37.6974,62.8856,0,0,0,[],[],False,False,False,有效,1.0
000776,广发证券,成长质量优先,持续成长,76.776,87.9247,90.738,15.4057,,74.5857,80.0957,40.2556,37.9167,100.0,1.1183,2.5801,8.08,47.4982,84.5943,0,0,0,[],[],False,False,True,有效,1.0
